Ticker,Close,San,Date Time
HHG,2.0,UPCOM,20231103
HHP,10.1,HOSE,20231103
HHS,5.74,HOSE,20231103
HHV,14.5,HOSE,20231103
HID,3.11,HOSE,20231103
HII,5.12,HOSE,20231103
HIO,15.1,UPCOM,20231103
HJS,30.3,HNX,20231103
HKB,0.6,UPCOM,20231103
HLA,0.4,UPCOM,20231103
HLC,11.7,HNX,20231103
HLD,26.0,HNX,20231103
HLY,11.0,UPCOM,20231103
HMC,10.0,HOSE,20231103
HMH,11.1,HNX,20231103
HMR,7.5,HNX,20231103
HMS,30.0,UPCOM,20231103
HNA,17.7,UPCOM,20231103
HND,13.8,UPCOM,20231103
HNG,3.55,HOSE,20231103
HNI,21.2,UPCOM,20231103
HNM,9.1,UPCOM,20231103
HOM,4.9,HNX,20231103
HOT,13.6,UPCOM,20231103
HPD,21.2,UPCOM,20231103
HPG,25.1,HOSE,20231103
HPP,60.0,UPCOM,20231103
HQC,3.19,HOSE,20231103
HRC,53.1,HOSE,20231103
HRT,6.4,UPCOM,20231103
HSA,30.3,UPCOM,20231103
HSG,19.45,HOSE,20231103
HSI,1.2,UPCOM,20231103
HSL,9.14,HOSE,20231103
HSV,4.3,UPCOM,20231103
HT1,11.75,HOSE,20231103
HTE,3.9,UPCOM,20231103
HTM,9.1,UPCOM,20231103
HTN,15.8,HOSE,20231103
HTP,24.5,HNX,20231103
HTT,1.1,UPCOM,20231103
HU3,4.3,UPCOM,20231103
HU4,13.3,UPCOM,20231103
HU6,6.0,UPCOM,20231103
HUB,16.5,HOSE,20231103
HUT,19.0,HNX,20231103
HVA,4.9,UPCOM,20231103
HVH,5.39,HOSE,20231103
HVN,10.55,HOSE,20231103
HVT,46.9,HNX,20231103
HVX,3.05,HOSE,20231103
HWS,12.1,UPCOM,20231103
ICF,2.2,UPCOM,20231103
ICG,6.8,HNX,20231103
ICN,44.9,UPCOM,20231103
ICT,12.8,HOSE,20231103
IDC,44.9,HNX,20231103
IDI,10.35,HOSE,20231103
IDJ,5.9,HNX,20231103
IDV,35.4,HNX,20231103
IFS,28.1,UPCOM,20231103
IJC,12.65,HOSE,20231103
ILA,3.2,UPCOM,20231103
ILB,30.5,HOSE,20231103
ILC,6.4,UPCOM,20231103
ILS,9.3,UPCOM,20231103
IMP,58.6,HOSE,20231103
INN,42.0,HNX,20231103
IPA,13.9,HNX,20231103
ITA,5.13,HOSE,20231103
ITC,9.1,HOSE,20231103
ITD,9.79,HOSE,20231103
ITQ,2.5,HNX,20231103
ITS,4.0,UPCOM,20231103
IVS,8.9,HNX,20231103
JOS,1.1,UPCOM,20231103
